000000,01.12.2018 - 28.02.2019,Новые пользователи,55
000000,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,23
000000,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,51
000001,01.12.2018 - 28.02.2019,Новые пользователи,59
000001,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,16
000001,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,50
000002,01.12.2018 - 28.02.2019,Новые пользователи,52
000002,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,12
000002,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,53
000003,01.12.2018 - 28.02.2019,Новые пользователи,37
000003,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,19
000003,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,36
000004,01.12.2018 - 28.02.2019,Новые пользователи,53
000004,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,24
000004,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,46
000005,01.12.2018 - 28.02.2019,Новые пользователи,41
000005,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,14
000005,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,36
000006,01.12.2018 - 28.02.2019,Новые пользователи,44
000006,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,19
000006,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,35
000007,01.12.2018 - 28.02.2019,Новые пользователи,66
000007,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,27
000007,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,53
000008,01.12.2018 - 28.02.2019,Новые пользователи,74
000008,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,30
000008,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,77
000009,01.12.2018 - 28.02.2019,Новые пользователи,58
000009,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000009,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,59
000010,01.12.2018 - 28.02.2019,Новые пользователи,83
000010,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,36
000010,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,74
000011,01.12.2018 - 28.02.2019,Новые пользователи,72
000011,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,40
000011,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,63
000012,01.12.2018 - 28.02.2019,Новые пользователи,64
000012,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,34
000012,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,62
000013,01.12.2018 - 28.02.2019,Новые пользователи,61
000013,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,32
000013,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,57
000014,01.12.2018 - 28.02.2019,Новые пользователи,58
000014,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,22
000014,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,55
000015,01.12.2018 - 28.02.2019,Новые пользователи,53
000015,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000015,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,57
000016,01.12.2018 - 28.02.2019,Новые пользователи,53
000016,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,29
000016,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,39
000017,01.12.2018 - 28.02.2019,Новые пользователи,51
000017,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,31
000017,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,48
000018,01.12.2018 - 28.02.2019,Новые пользователи,45
000018,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,27
000018,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,43
000019,01.12.2018 - 28.02.2019,Новые пользователи,50
000019,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,26
000019,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,55
000020,01.12.2018 - 28.02.2019,Новые пользователи,53
000020,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,26
000020,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,45
000021,01.12.2018 - 28.02.2019,Новые пользователи,56
000021,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,36
000021,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,43
000022,01.12.2018 - 28.02.2019,Новые пользователи,51
000022,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,16
000022,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,50
000023,01.12.2018 - 28.02.2019,Новые пользователи,42
000023,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,21
000023,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,42
000024,01.12.2018 - 28.02.2019,Новые пользователи,42
000024,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,24
000024,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,38
000025,01.12.2018 - 28.02.2019,Новые пользователи,35
000025,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,15
000025,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,41
000026,01.12.2018 - 28.02.2019,Новые пользователи,30
000026,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,14
000026,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,27
000027,01.12.2018 - 28.02.2019,Новые пользователи,41
000027,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,22
000027,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,32
000028,01.12.2018 - 28.02.2019,Новые пользователи,48
000028,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,21
000028,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,44
000029,01.12.2018 - 28.02.2019,Новые пользователи,40
000029,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,16
